"success","trial_type","trial_index","time_elapsed","internal_node_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt","response","choice_outcomes"
"","instruc5","10","141133","0.0-10.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","36323","run_exp/static/audio/clip_5_probabilistic.m4a","49","","","","","<div class='center'><p>Even the most skilled pirate can not rob EVERY ship.</p><p> Some ships will have very strong protections against pirate attacks.</p><p> Blue beard, here, is very, very good at robbing ships, but he won't be successful every time he tries to rob one.</p><p> You can press the <b>‘1’</b> key on the keyboard to choose him.</p><p> Try choosing him 10 times to see how often he succeeds at robbing a ship. </p><p><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","",""
"","html-keyboard-response","11","142649","0.0-11.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","",""
"","html-keyboard-response","12","142856","0.0-12.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","205","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","",""
"","html-keyboard-response","13","144362","0.0-13.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","",""
"","html-keyboard-response","14","146056","0.0-14.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","1691","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","",""
"","html-keyboard-response","15","147559","0.0-15.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","",""
"","html-keyboard-response","16","149626","0.0-16.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","2063","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","",""
"","html-keyboard-response","17","151139","0.0-17.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_no_win.png' height='500'></p></div>","null","","","","","","",""
"","html-keyboard-response","18","151673","0.0-18.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","531","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","",""
"","html-keyboard-response","19","153188","0.0-19.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","",""
"","html-keyboard-response","20","154116","0.0-20.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","927","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","",""
"","html-keyboard-response","21","155629","0.0-21.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","",""
"","html-keyboard-response","22","156780","0.0-22.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","1150","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","",""
"","html-keyboard-response","23","158286","0.0-23.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","",""
"","html-keyboard-response","24","159079","0.0-24.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","789","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","",""
"","html-keyboard-response","25","160582","0.0-25.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_no_win.png' height='500'></p></div>","null","","","","","","",""
"","html-keyboard-response","26","162074","0.0-26.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","1491","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","",""
"","html-keyboard-response","27","163578","0.0-27.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","",""
"","html-keyboard-response","28","167265","0.0-28.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","3684","<div class='center'><img src='run_exp/static/images/tutorial/blue.png' height='500'></p></div>","49","","","","","","",""
"","html-keyboard-response","29","168779","0.0-29.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","null","<div class='center'><p><img src='run_exp/static/images/tutorial/blue_win.png' height='500'></p></div>","null","","","","","","",""
"","instruc6","30","174281","0.0-30.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","null","run_exp/static/audio/clip_6_blue_beard_outcome.m4a","null","","","","","<div class='center'><p> See, he succeeded in robbing the ships most of the time but not every time. </p></div>","",""
"","html-keyboard-response","31","176110","0.0-31.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","1827","<div class='center'><p> See, he succeeded in robbing the ships most of the time but not every time. </p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","",""
"","audio-keyboard-response","32","185033","0.0-32.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","8919","run_exp/static/audio/clip_7_pick_pirate.m4a","50","","","","","","",""
"","audio-keyboard-response","33","188730","0.0-33.0-0.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","3693","run_exp/static/audio/clip_8_chosen_pirate_win.m4a","32","","","","","","",""
"","audio-keyboard-response","34","190944","0.0-33.0-1.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","2212","run_exp/static/audio/clip_9_pick_a_pirate_again.m4a","49","","","","","","",""
"","audio-keyboard-response","35","192620","0.0-34.0-0.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","1670","run_exp/static/audio/clip_10_chosen_pirate_loss.m4a","32","","","","","","",""
"","instruc9","36","198191","0.0-35.0-0.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","null","run_exp/static/audio/clip_11_time_out.m4a","null","","","","","<div class='center'><p>If you don’t make your choice fast enough, you’ll have to wait a few seconds before you can make another one. </p><p><img src='run_exp/static/images/miscellaneous/hurry_up.png' height='500'></p></div>","",""
"","html-keyboard-response","37","199239","0.0-35.0-1.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","1045","<div class='center'><p>If you don’t make your choice fast enough, you’ll have to wait a few seconds before you can make another one. </p><p><img src='run_exp/static/images/miscellaneous/hurry_up.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","",""
"","instruc10","38","238432","0.0-35.0-2.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","null","run_exp/static/audio/clip_12_probe.m4a","null","","","","","<div class='center'><p>Once you've chosen a pirate, you’ll be shown the ship they are robbing. You will never rob the same ship twice. Ships can be told apart from one another by the image on them. These are the goods that they sell. See, this ship has a travel mug on it. </p><p> You’ll have to remember which island you saw each ship on. You will win more gold coins and hence more bonus money if you remember correctly! To help you remember, you can imagine a story. For example, here, you could imagine a mug full of water in the desert. Or, as another example, if on the forest island, your pirate robbed a ship with an apple on it, you could imagine an apple falling from a tree in the forest. </p><p><img src='run_exp/static/images/tutorial/example_probe.png' height='500'></p></div>","",""
"","html-keyboard-response","39","239929","0.0-35.0-3.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","1493","<div class='center'><p>Once you've chosen a pirate, you’ll be shown the ship they are robbing. You will never rob the same ship twice. Ships can be told apart from one another by the image on them. These are the goods that they sell. See, this ship has a travel mug on it. </p><p> You’ll have to remember which island you saw each ship on. You will win more gold coins and hence more bonus money if you remember correctly! To help you remember, you can imagine a story. For example, here, you could imagine a mug full of water in the desert. Or, as another example, if on the forest island, your pirate robbed a ship with an apple on it, you could imagine an apple falling from a tree in the forest. </p><p><img src='run_exp/static/images/tutorial/example_probe.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","",""
"","instruc11","40","256411","0.0-35.0-4.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""11126""
""blur"",""10"",""129650""
""focus"",""10"",""133257""
""blur"",""10"",""134789""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""blur"",""10"",""129650""
""blur"",""10"",""134789""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""10"",""133257""
""focus"",""10"",""135466""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""11126""
","
","null","run_exp/static/audio/clip_13_changepoint.m4a","null","","","","","<div class='center'><p>How successful a pirate is at robbing ships will depend on the island you’re on.</p><p> A pirate may have visited this island many times before and gained a lot of practice robbing ships there.</p><p>So, they’re more likely to be successful than a pirate who has never visited the island before.</p></div>","",""
