"trial_type","trial_index","time_elapsed","internal_node_id","participant_id","subject_id","age","gender","rocket_sides","red_planet_first_rocket","red_display_order","purple_display_order","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","rt","stimulus","key_press","button_pressed","success","duration","valid_pressed","rts","keys","planet_text","right_text","left_text","center_text","chosen_text","reward_text","trial_stage","practice_trial","transition_type","transition","reward","timestamp","choice"
"d3-animate-choice","20","227825","0.0-20.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","1652.2000000178814","","49","","","3000","1","2868.2000000178814","49","images/tutyellowplanet.jpg","null","images/tutalien3","null","images/tutalien3","images/t.png","NA","practice","null","","","",""
"d3-animate-choice","21","230583","0.0-21.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","754.9000000059605","","49","","","3000","1","","","images/tutyellowplanet.jpg","null","images/tutalien3","null","images/tutalien3","images/t.png","NA","practice","null","","","",""
"d3-animate-choice","22","233290","0.0-22.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","698.6999999880791","","49","","","3000","1","","","images/tutyellowplanet.jpg","null","images/tutalien3","null","images/tutalien3","images/nothing.png","NA","practice","null","","","",""
"d3-animate-choice","23","235964","0.0-23.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","660.2000000178814","","49","","","3000","1","","","images/tutyellowplanet.jpg","null","images/tutalien3","null","images/tutalien3","images/nothing.png","NA","practice","null","","","",""
"d3-animate-choice","24","238525","0.0-24.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","542.6999999880791","","49","","","3000","1","","","images/tutyellowplanet.jpg","null","images/tutalien3","null","images/tutalien3","images/t.png","NA","practice","null","","","",""
"d3-animate-choice","25","241063","0.0-25.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","534.2000000178814","","49","","","3000","1","","","images/tutyellowplanet.jpg","null","images/tutalien3","null","images/tutalien3","images/t.png","NA","practice","null","","","",""
"d3-animate-choice","26","243594","0.0-26.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","525","","49","","","3000","1","","","images/tutyellowplanet.jpg","null","images/tutalien3","null","images/tutalien3","images/t.png","NA","practice","null","","","",""
"d3-animate-choice","27","246205","0.0-27.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","587.7000000178814","","49","","","3000","1","","","images/tutyellowplanet.jpg","null","images/tutalien3","null","images/tutalien3","images/nothing.png","NA","practice","null","","","",""
"d3-animate-choice","28","248710","0.0-28.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","502.30000001192093","","49","","","3000","1","","","images/tutyellowplanet.jpg","null","images/tutalien3","null","images/tutalien3","images/t.png","NA","practice","null","","","",""
"d3-animate-choice","29","251205","0.0-29.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","476.59999999403954","","49","","","3000","1","","","images/tutyellowplanet.jpg","null","images/tutalien3","null","images/tutalien3","images/t.png","NA","practice","null","","","",""
"d3-instructions","30","258934","0.0-30.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","31","269302","0.0-31.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","32","280158","0.0-32.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","33","291534","0.0-33.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-animate-choice","34","295394","0.0-34.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","1845.0999999940395","","48","","","3000","1","","","images/tutgreenplanet.jpg","images/tutalien1","images/tutalien2","null","images/tutalien1","images/nothing.png","NA","practice","null","","","",""
"d3-animate-choice","35","297964","0.0-35.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","560.4000000059605","","48","","","3000","1","","","images/tutgreenplanet.jpg","images/tutalien1","images/tutalien2","null","images/tutalien1","images/nothing.png","NA","practice","null","","","",""
"d3-animate-choice","36","300364","0.0-36.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","389.90000000596046","","48","","","3000","1","","","images/tutgreenplanet.jpg","images/tutalien1","images/tutalien2","null","images/tutalien1","images/nothing.png","NA","practice","null","","","",""
"d3-animate-choice","37","302794","0.0-37.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","409.39999997615814","","49","","","3000","1","","","images/tutgreenplanet.jpg","images/tutalien1","images/tutalien2","null","images/tutalien2","images/t.png","NA","practice","null","","","",""
"d3-animate-choice","38","305255","0.0-38.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","440.59999999403954","","49","","","3000","1","","","images/tutgreenplanet.jpg","images/tutalien1","images/tutalien2","null","images/tutalien2","images/t.png","NA","practice","null","","","",""
"d3-animate-choice","39","307711","0.0-39.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","452.30000001192093","","49","","","3000","1","","","images/tutgreenplanet.jpg","images/tutalien1","images/tutalien2","null","images/tutalien2","images/t.png","NA","practice","null","","","",""
"d3-animate-choice","40","310144","0.0-40.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","420","","49","","","3000","1","","","images/tutgreenplanet.jpg","images/tutalien1","images/tutalien2","null","images/tutalien2","images/t.png","NA","practice","null","","","",""
"d3-animate-choice","41","312678","0.0-41.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","514.5","","49","","","3000","1","","","images/tutgreenplanet.jpg","images/tutalien1","images/tutalien2","null","images/tutalien2","images/nothing.png","NA","practice","null","","","",""
"d3-animate-choice","42","315125","0.0-42.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","424","","48","","","3000","1","","","images/tutgreenplanet.jpg","images/tutalien1","images/tutalien2","null","images/tutalien1","images/nothing.png","NA","practice","null","","","",""
"d3-animate-choice","43","317675","0.0-43.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","534.3000000119209","","48","","","3000","1","","","images/tutgreenplanet.jpg","images/tutalien1","images/tutalien2","null","images/tutalien1","images/nothing.png","NA","practice","null","","","",""
"d3-instructions","44","331478","0.0-44.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","45","338070","0.0-45.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","46","343509","0.0-46.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","47","362221","0.0-47.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","48","369590","0.0-48.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","49","381182","0.0-49.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","50","390912","0.0-50.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","51","394782","0.0-51.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","52","398221","0.0-52.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","53","411134","0.0-53.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","54","424853","0.0-54.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","55","437174","0.0-55.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","56","447192","0.0-56.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","57","458598","0.0-57.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","58","469982","0.0-58.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","59","476022","0.0-59.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-instructions","60","484566","0.0-60.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","","","","","","","","","","","","","","","","","","","","",""
"d3-animate-choice","61","488590","0.0-61.0-0.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","1121.0999999940395","","189","","","3000","1","2617.0999999940395","48","images/earth.jpg","images/tutrocket1","images/tutrocket2","null","images/tutrocket1","","1","practice","null","","","",""
"d3-animate-choice","62","492594","0.0-61.0-1.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","null","","null","","","3000","0","","","images/tutyellowplanet.jpg","images/tutalien4","images/tutalien3","images/tutrocket1","","","2","practice","true","common","0","2022-02-10 22:05:11.092",""
"two-step-fixation","63","493605","0.0-61.0-2.0","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","images/earth.jpg","","","","","","","","","","","","","","fixation","","","","","",""
"d3-animate-choice","64","497635","0.0-61.0-0.1","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","2580","","48","","","3000","1","","","images/earth.jpg","images/tutrocket1","images/tutrocket2","null","images/tutrocket1","","1","practice","null","","","","2"
"d3-animate-choice","65","501075","0.0-61.0-1.1","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","1412.5999999940395","","49","","","3000","1","","","images/tutyellowplanet.jpg","images/tutalien4","images/tutalien3","images/tutrocket1","images/tutalien3","images/nothing.png","2","practice","true","common","0","2022-02-10 22:05:19.572","1"
"two-step-fixation","66","502095","0.0-61.0-2.1","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","images/earth.jpg","","","","","","","","","","","","","","fixation","","","","","",""
"d3-animate-choice","67","505184","0.0-61.0-0.2","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","1082.699999988079","","49","","","3000","1","","","images/earth.jpg","images/tutrocket1","images/tutrocket2","null","images/tutrocket2","","1","practice","null","","","","1"
"d3-animate-choice","68","508184","0.0-61.0-1.2","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","980.2999999821186","","48","","","3000","1","","","images/tutgreenplanet.jpg","images/tutalien2","images/tutalien1","images/tutrocket2","images/tutalien2","images/t.png","2","practice","true","common","1","2022-02-10 22:05:26.681","2"
"two-step-fixation","69","509189","0.0-61.0-2.2","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","images/earth.jpg","","","","","","","","","","","","","","fixation","","","","","",""
"d3-animate-choice","70","511846","0.0-61.0-0.3","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","653.1999999880791","","49","","","3000","1","","","images/earth.jpg","images/tutrocket1","images/tutrocket2","null","images/tutrocket2","","1","practice","null","","","","1"
"d3-animate-choice","71","514527","0.0-61.0-1.3","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","674.5999999940395","","48","","","3000","1","","","images/tutyellowplanet.jpg","images/tutalien4","images/tutalien3","images/tutrocket2","images/tutalien4","images/nothing.png","2","practice","false","rare","0","2022-02-10 22:05:33.024","2"
"two-step-fixation","72","515531","0.0-61.0-2.3","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","images/earth.jpg","","","","","","","","","","","","","","fixation","","","","","",""
"d3-animate-choice","73","518024","0.0-61.0-0.4","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","486","","49","","","3000","1","","","images/earth.jpg","images/tutrocket1","images/tutrocket2","null","images/tutrocket2","","1","practice","null","","","","1"
"d3-animate-choice","74","520884","0.0-61.0-1.4","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","854.5","","48","","","3000","1","","","images/tutgreenplanet.jpg","images/tutalien2","images/tutalien1","images/tutrocket2","images/tutalien2","images/nothing.png","2","practice","true","common","0","2022-02-10 22:05:39.381","2"
"two-step-fixation","75","521888","0.0-61.0-2.4","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","images/earth.jpg","","","","","","","","","","","","","","fixation","","","","","",""
"d3-animate-choice","76","524887","0.0-61.0-0.5","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","994","","49","","","3000","1","","","images/earth.jpg","images/tutrocket1","images/tutrocket2","null","images/tutrocket2","","1","practice","null","","","","1"
"d3-animate-choice","77","527528","0.0-61.0-1.5","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","633.8000000119209","","49","","","3000","1","","","images/tutyellowplanet.jpg","images/tutalien4","images/tutalien3","images/tutrocket2","images/tutalien3","images/t.png","2","practice","false","rare","1","2022-02-10 22:05:46.025","1"
"two-step-fixation","78","528533","0.0-61.0-2.5","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","images/earth.jpg","","","","","","","","","","","","","","fixation","","","","","",""
"d3-animate-choice","79","531327","0.0-61.0-0.6","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","789","","49","","","3000","1","","","images/earth.jpg","images/tutrocket1","images/tutrocket2","null","images/tutrocket2","","1","practice","null","","","","1"
"d3-animate-choice","80","534167","0.0-61.0-1.6","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","834.8000000119209","","49","","","3000","1","","","images/tutgreenplanet.jpg","images/tutalien2","images/tutalien1","images/tutrocket2","images/tutalien1","images/nothing.png","2","practice","true","common","0","2022-02-10 22:05:52.664","1"
"two-step-fixation","81","535171","0.0-61.0-2.6","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","","images/earth.jpg","","","","","","","","","","","","","","fixation","","","","","",""
"d3-animate-choice","82","538056","0.0-61.0-0.7","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","877.6999999880791","","49","","","3000","1","","","images/earth.jpg","images/tutrocket1","images/tutrocket2","null","images/tutrocket2","","1","practice","null","","","","1"
"d3-animate-choice","83","540783","0.0-61.0-1.7","843","688","15","Female","false","false","false","true","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","
","""event"",""trial"",""time""
""fullscreenenter"",""5"",""25912""
","
","721.7000000178814","","49","","","3000","1","","","images/tutgreenplanet.jpg","images/tutalien2","images/tutalien1","images/tutrocket2","images/tutalien1","images/nothing.png","2","practice","true","common","0","2022-02-10 22:05:59.281","1"
