"success","trial_type","trial_index","time_elapsed","internal_node_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt","phase","condition"
"","similar_2a","210","308461","0.0-210.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/audio/clip_14a_similar_gummies.m4a","null","","","","","","",""
"","similar_2b","211","315966","0.0-211.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/audio/clip_14b_similar_gummies.m4a","null","","","","","","",""
"","practice","212","358088","0.0-212.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/audio/clip_15_practice.m4a","null","","","","","<div class='center'><p>Let’s practice a little to make sure you understand the difference between new, similar, and old. Let’s say you saw these three items in the indoor/outdoor game.</p><p> Try your best to remember these images because you’ll soon be tested on them in a practice game. In the practice game, you’ll be shown images and you’ll have to say if they are old (one of the three images belows), similar (similar to one of the images below but not exactly the same), or new (are not one of the images below nor similar to them).</p><p>Once you press the space bar you’ll be shown these images again but one at time. Then you’ll begin the practice game.</p><p><img src='run_exp/static/images/tutorial/test/three_indoor_outdoor.png' height='300'></p></div>","",""
"","html-keyboard-response","213","358874","0.0-213.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","785","<div class='center'><p>Let’s practice a little to make sure you understand the difference between new, similar, and old. Let’s say you saw these three items in the indoor/outdoor game.</p><p> Try your best to remember these images because you’ll soon be tested on them in a practice game. In the practice game, you’ll be shown images and you’ll have to say if they are old (one of the three images belows), similar (similar to one of the images below but not exactly the same), or new (are not one of the images below nor similar to them).</p><p>Once you press the space bar you’ll be shown these images again but one at time. Then you’ll begin the practice game.</p><p><img src='run_exp/static/images/tutorial/test/three_indoor_outdoor.png' height='300'></p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","",""
"","planet","214","360881","0.0-214.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/images/tutorial/test/008a.jpg","null","","","","","","",""
"","boot","215","362902","0.0-215.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/images/tutorial/test/011a.jpg","null","","","","","","",""
"","lemon","216","364915","0.0-216.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/images/tutorial/test/018a.jpg","null","","","","","","",""
"","practice_q1","217","370024","0.0-217.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","5107","run_exp/static/audio/clip_16_practice_question.m4a","78","","","","","","",""
"","correct","218","371938","0.0-218.0-0.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/audio/clip_17_correct.m4a","null","","","","","<div class='center'><p>That's correct!</p></div>","",""
"","html-keyboard-response","219","374515","0.0-218.0-1.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","2575","<div class='center'><p>That's correct!</p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","",""
"","practice_q2","220","375815","0.0-218.0-2.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","1297","run_exp/static/audio/clip_16_practice_question.m4a","78","","","","","","",""
"","incorrect_q2","221","378878","0.0-219.0-0.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/audio/clip_19_incorrect_old.m4a","null","","","","","<div class='center'><p>That’s incorrect. It’s old.</p></div>","",""
"","html-keyboard-response","222","380092","0.0-219.0-1.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","1213","<div class='center'><p>That’s incorrect. It’s old.</p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","",""
"","practice_q3","223","384286","0.0-219.0-2.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","4191","run_exp/static/audio/clip_16_practice_question.m4a","86","","","","","","",""
"","incorrect_q3","224","387027","0.0-220.0-0.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/audio/clip_20_incorrect_similar.m4a","null","","","","","<div class='center'><p>That’s incorrect. It’s similar.</p><p><img src='run_exp/static/images/tutorial/test/boot_comparison.png' height='300'></p></div>","",""
"","html-keyboard-response","225","388698","0.0-220.0-1.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","1670","<div class='center'><p>That’s incorrect. It’s similar.</p><p><img src='run_exp/static/images/tutorial/test/boot_comparison.png' height='300'></p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","",""
"","repeat","226","393437","0.0-221.0-0.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/audio/clip_21_practice_again.m4a","null","","","","","<div class='center'><p>Oops. you missed at least one of these questions. Let's try practicing again. </p></div>","",""
"","html-keyboard-response","227","394607","0.0-221.0-1.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","1167","<div class='center'><p>Oops. you missed at least one of these questions. Let's try practicing again. </p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","",""
"","practice_q1","228","398985","0.0-221.0-2.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","4377","run_exp/static/audio/clip_16_practice_question.m4a","78","","","","","","",""
"","correct","229","400887","0.0-222.0-0.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/audio/clip_17_correct.m4a","null","","","","","<div class='center'><p>That's correct!</p></div>","",""
"","html-keyboard-response","230","402094","0.0-222.0-1.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","1205","<div class='center'><p>That's correct!</p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","",""
"","practice_q2","231","407304","0.0-222.0-2.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","5210","run_exp/static/audio/clip_16_practice_question.m4a","78","","","","","","",""
"","incorrect_q2","232","410368","0.0-223.0-0.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/audio/clip_19_incorrect_old.m4a","null","","","","","<div class='center'><p>That’s incorrect. It’s old.</p></div>","",""
"","html-keyboard-response","233","411604","0.0-223.0-1.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","1235","<div class='center'><p>That’s incorrect. It’s old.</p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","",""
"","practice_q3","234","413659","0.0-223.0-2.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","2052","run_exp/static/audio/clip_16_practice_question.m4a","66","","","","","","",""
"","correct","235","415567","0.0-224.0-0.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/audio/clip_17_correct.m4a","null","","","","","<div class='center'><p>That's correct!</p></div>","",""
"","html-keyboard-response","236","416872","0.0-224.0-1.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","1302","<div class='center'><p>That's correct!</p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","",""
"","repeat","237","421607","0.0-225.0-0.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/audio/clip_21_practice_again.m4a","null","","","","","<div class='center'><p>Oops. you missed at least one of these questions. Let's try practicing again. </p></div>","",""
"","html-keyboard-response","238","423018","0.0-225.0-1.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","1410","<div class='center'><p>Oops. you missed at least one of these questions. Let's try practicing again. </p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","",""
"","practice_q1","239","424378","0.0-225.0-2.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","1357","run_exp/static/audio/clip_16_practice_question.m4a","78","","","","","","",""
"","correct","240","426277","0.0-226.0-0.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
","
","""event"",""trial"",""time""
""focus"",""0"",""0""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/audio/clip_17_correct.m4a","null","","","","","<div class='center'><p>That's correct!</p></div>","",""
"","html-keyboard-response","241","427427","0.0-226.0-1.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
""blur"",""242"",""430777""
""focus"",""242"",""435036""
","""event"",""trial"",""time""
""blur"",""242"",""430777""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""242"",""435036""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","1148","<div class='center'><p>That's correct!</p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","",""
"","practice_q2","242","436018","0.0-226.0-2.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
""blur"",""242"",""430777""
""focus"",""242"",""435036""
","""event"",""trial"",""time""
""blur"",""242"",""430777""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""242"",""435036""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","8590","run_exp/static/audio/clip_16_practice_question.m4a","86","","","","","","",""
"","correct","243","437917","0.0-227.0-0.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
""blur"",""242"",""430777""
""focus"",""242"",""435036""
","""event"",""trial"",""time""
""blur"",""242"",""430777""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""242"",""435036""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/audio/clip_17_correct.m4a","null","","","","","<div class='center'><p>That's correct!</p></div>","",""
"","html-keyboard-response","244","439636","0.0-227.0-1.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
""blur"",""242"",""430777""
""focus"",""242"",""435036""
","""event"",""trial"",""time""
""blur"",""242"",""430777""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""242"",""435036""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","1718","<div class='center'><p>That's correct!</p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","",""
"","practice_q3","245","441444","0.0-227.0-2.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
""blur"",""242"",""430777""
""focus"",""242"",""435036""
","""event"",""trial"",""time""
""blur"",""242"",""430777""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""242"",""435036""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","1807","run_exp/static/audio/clip_16_practice_question.m4a","66","","","","","","",""
"","correct","246","443878","0.0-228.0-0.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
""blur"",""242"",""430777""
""focus"",""242"",""435036""
","""event"",""trial"",""time""
""blur"",""242"",""430777""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""242"",""435036""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","null","run_exp/static/audio/clip_17_correct.m4a","null","","","","","<div class='center'><p>That's correct!</p></div>","",""
"","html-keyboard-response","247","446254","0.0-228.0-1.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
""blur"",""242"",""430777""
""focus"",""242"",""435036""
","""event"",""trial"",""time""
""blur"",""242"",""430777""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""242"",""435036""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","
","2377","<div class='center'><p>That's correct!</p><div><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","",""
"","begin_text","248","464717","0.0-229.0-0.0","""event"",""trial"",""time""
""focus"",""0"",""0""
""fullscreenenter"",""0"",""4669""
""blur"",""242"",""430777""
""focus"",""242"",""435036""
""fullscreenexit"",""249"",""584234""
""blur"",""249"",""593012""
""focus"",""249"",""593012""
""blur"",""249"",""601160""
""focus"",""249"",""601160""
","""event"",""trial"",""time""
""blur"",""242"",""430777""
""blur"",""249"",""593012""
""blur"",""249"",""601160""
","""event"",""trial"",""time""
""focus"",""0"",""0""
""focus"",""242"",""435036""
""focus"",""249"",""593012""
""focus"",""249"",""601160""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""4669""
","""event"",""trial"",""time""
""fullscreenexit"",""249"",""584234""
","null","run_exp/static/audio/clip_22_begin_test.m4a","null","","","","","<div class='center'><p>On to the real game where we’ll test your memory of items from the indoor/outdoor game. For each item, you need to indicate if the item is <b>old</b> by pressing the <b>v</b> key, <b>similar</b> by pressing the <b>b</b> key, or <b>new</b> by pressing the <b>n</b> key. </p></div>","",""
