"success","trial_type","trial_index","time_elapsed","internal_node_id","interactions","blur_events","focus_events","fullscreenenter_events","fullscreenexit_events","rt","stimulus","key_press","subject_id","participant_id","age","gender","prompt","response","choice_outcomes","context_n","context_img_id","trial_n","probe_img_id","pR_red","pR_white","pR_black","outcome"
"","explain_probe_1","10","90655","0.0-10.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","null","run_exp/static/audio/clip_33_recognition_1.m4a","null","","","","","<div class='center'><p> Sometimes you’ll be shown a ship, and you will be asked if you saw this ship on a past island.</p><p> Here is an example of what you will see.</p><p><img src='run_exp/static/images/tutorial/example_recog_trial.png' height='500'></p></div>","","","","","","","","","",""
"","html-keyboard-response","11","104269","0.0-11.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","13612.944999942556","<div class='center'><p> Sometimes you’ll be shown a ship, and you will be asked if you saw this ship on a past island.</p><p> Here is an example of what you will see.</p><p><img src='run_exp/static/images/tutorial/example_recog_trial.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","",""
"","explain_probe_2","12","125942","0.0-12.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","null","run_exp/static/audio/clip_34_recognition_2.m4a","null","","","","","<div class='center'><p> You will press the 5, 6, 7, 8 keys on your keyboard to respond.</p><p>If you are sure you saw the ship, press <b>5</b> on your keyboard.</p><p> If you think you saw it before but aren't sure, then press <b>6</b>.</p><p> If you think you have <b>not</b> seen it before but aren't sure, then press <b>7</b>.</p><p> If you are sure you did <b>not</b> see the ship before, then press <b>8</b>.</p><p><img src='run_exp/static/images/tutorial/example_recog_trial.png' height='500'></p></div>","","","","","","","","","",""
"","html-keyboard-response","13","127202","0.0-13.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","1258.8199998717755","<div class='center'><p> You will press the 5, 6, 7, 8 keys on your keyboard to respond.</p><p>If you are sure you saw the ship, press <b>5</b> on your keyboard.</p><p> If you think you saw it before but aren't sure, then press <b>6</b>.</p><p> If you think you have <b>not</b> seen it before but aren't sure, then press <b>7</b>.</p><p> If you are sure you did <b>not</b> see the ship before, then press <b>8</b>.</p><p><img src='run_exp/static/images/tutorial/example_recog_trial.png' height='500'></p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","",""
"","explain_outcome","14","144401","0.0-14.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","null","run_exp/static/audio/clip_35_recognition_3.m4a","null","","","","","<div class='center'><p> If you remember correctly, then you’ll get a gold coin like this: </p><p><img src='run_exp/static/images/tutorial/reward_small.png' height='200'></p><p>If you do not remember correctly, then you'll see a red x like this: </p><p><img src='run_exp/static/images/tutorial/reward_no.png' height='200'></p><p>Importantly, when you are shown a ship, take the time to remind yourself which island you saw it on. This will help you in the next part of the study.</p></div>","","","","","","","","","",""
"","html-keyboard-response","15","145652","0.0-15.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","1249.5349999517202","<div class='center'><p> If you remember correctly, then you’ll get a gold coin like this: </p><p><img src='run_exp/static/images/tutorial/reward_small.png' height='200'></p><p>If you do not remember correctly, then you'll see a red x like this: </p><p><img src='run_exp/static/images/tutorial/reward_no.png' height='200'></p><p>Importantly, when you are shown a ship, take the time to remind yourself which island you saw it on. This will help you in the next part of the study.</p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","",""
"","begin_test_phase","16","161468","0.0-16.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","null","run_exp/static/audio/clip_36_begin_final.m4a","null","","","","","<div class='center'><p>Let's go over the important points again. Your job is to: </p><p>1. Pick the pirate who is best at robbing ships and will bring you back gold coins. </p><p>2. Correctly remember whether or not you saw a ship before. If you did see the ship before, remind yourself on which island you saw it. </p></div>","","","","","","","","","",""
"","html-keyboard-response","17","163091","0.0-17.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","1578.050000127405","<div class='center'><p>Let's go over the important points again. Your job is to: </p><p>1. Pick the pirate who is best at robbing ships and will bring you back gold coins. </p><p>2. Correctly remember whether or not you saw a ship before. If you did see the ship before, remind yourself on which island you saw it. </p><p><b>[Press the space bar to continue]</b></p></div>","32","","","","","","","","","","","","","","",""
"","do_welcome","18","167102","0.0-18.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","null","","","","","","","","null","","","","","","","","",""
"","do_trial","19","170150","0.0-19.0-0.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","498.23000002652407","","","","","","","","49","0,0,1","6","blank","230","null","0.44912340333590195","0.4210449311590573","0.15419135307151835","0"
"","html-keyboard-response","20","171155","0.0-19.0-1.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","21","174006","0.0-20.0-0.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","303.4800000023097","","","","","","","","50","1,0,1","6","blank","231","null","0.43107561690590984","0.589089835893864","0.1302419507986424","0"
"","html-keyboard-response","22","175010","0.0-20.0-1.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","23","177838","0.0-21.0-0.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","277.5900000706315","","","","","","","","51","1,0,0","6","blank","232","null","0.3070923600630337","0.5016980457929487","0.05563400078792404","0"
"","html-keyboard-response","24","178842","0.0-21.0-1.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","25","181660","0.0-22.0-0.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","271.10500005073845","","","","","","","","49","1,0,0","6","blank","233","null","0.33714024430539974","0.4746558941425048","0.17161191587352126","1"
"","html-keyboard-response","26","182665","0.0-22.0-1.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","27","185447","0.0-23.0-0.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","233.0849999561906","","","","","","","","50","0,0,0","6","blank","234","null","0.31024822176006206","0.42659458051695526","0.20222779253928633","0"
"","html-keyboard-response","28","186452","0.0-23.0-1.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","null","<p></p>","null","","","","","","","","","","","","","","",""
"","do_trial","29","189272","0.0-24.0-0.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
","""event"",""trial"",""time""
""blur"",""0"",""0""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","271.1950000375509","","","","","","","","51","0,1,0","6","blank","235","null","0.4281198931714799","0.46903541535983806","0.0694499827496131","0"
"","html-keyboard-response","30","190276","0.0-24.0-1.0","""event"",""trial"",""time""
""blur"",""0"",""0""
""focus"",""0"",""346""
""fullscreenenter"",""0"",""1437""
""fullscreenexit"",""4"",""24761""
""blur"",""31"",""194480""
","""event"",""trial"",""time""
""blur"",""0"",""0""
""blur"",""31"",""194480""
","""event"",""trial"",""time""
""focus"",""0"",""346""
","""event"",""trial"",""time""
""fullscreenenter"",""0"",""1437""
","""event"",""trial"",""time""
""fullscreenexit"",""4"",""24761""
","null","<p></p>","null","","","","","","","","","","","","","","",""
